manufacturer,model,message,message_id,event_type,class
sharq,u628v2-122-bay,"""User admin is now logged off.""",Security.1.0.0.UserLogOff,Event,security
sharq,u628v2-122-bay,"""Login for user admin using session authentication was a success.""",Security.1.0.0.LoginSuccess,Event,security
sharq,u628v2-122-bay,"""User: in-band-user, IP: 169.254.0.18, Protocol: https - The value of attribute BootComplete at /redfish/v1/Oem/Ami/InventoryData was successfully updated from false to true.""",Security.1.0.ResourceModified,Event,security
sharq,u628v2-122-bay,"""The value of attribute BootComplete at /redfish/v1/Oem/Ami/InventoryData was successfully updated from false to true.""",Security.1.0.0.ResourceModified,Event,security
sharq,u628v2-122-bay,"""User: in-band-user, IP: 169.254.0.18, Protocol: https - Access to the resource located at /Oem/Ami/InventoryData was allowed.""",Security.1.0.AccessAllowed,Event,security
sharq,u628v2-122-bay,"""Access to the resource located at /Oem/Ami/InventoryData was allowed.""",Security.1.0.0.AccessAllowed,Event,security
sharq,u628v2-122-bay,"""User: in-band-user, IP: 169.254.0.18, Protocol: https - Access to the resource located at /bios/defaultSD was allowed.""",Security.1.0.AccessAllowed,Event,security
sharq,u628v2-122-bay,"""Access to the resource located at /bios/defaultSD was allowed.""",Security.1.0.0.AccessAllowed,Event,security
sharq,u628v2-122-bay,"""User: in-band-user, IP: 169.254.0.18, Protocol: https - Access to the resource located at /Systems/1/Bios/Actions/Bios.ResetBios was allowed.""",Security.1.0.AccessAllowed,Event,security
sharq,u628v2-122-bay,"""Access to the resource located at /Systems/1/Bios/Actions/Bios.ResetBios was allowed.""",Security.1.0.0.AccessAllowed,Event,security
sharq,u628v2-122-bay,"""User: in-band-user, IP: 169.254.0.18, Protocol: https - Access to the resource located at /Systems/1/Bios/Actions/Bios.ChangePassword was allowed.""",Security.1.0.AccessAllowed,Event,security
sharq,u628v2-122-bay,"""Access to the resource located at /Systems/1/Bios/Actions/Bios.ChangePassword was allowed.""",Security.1.0.0.AccessAllowed,Event,security
sharq,u628v2-122-bay,"""User: in-band-user, IP: 169.254.0.18, Protocol: https - Access to the resource located at /Systems/1/Bios/SD was allowed.""",Security.1.0.AccessAllowed,Event,security
sharq,u628v2-122-bay,"""Access to the resource located at /Systems/1/Bios/SD was allowed.""",Security.1.0.0.AccessAllowed,Event,security
sharq,u628v2-122-bay,"""User: in-band-user, IP: 169.254.0.18, Protocol: https - Access to the resource located at /Systems/1/Bios was allowed.""",Security.1.0.AccessAllowed,Event,security
sharq,u628v2-122-bay,"""Access to the resource located at /Systems/1/Bios was allowed.""",Security.1.0.0.AccessAllowed,Event,security
sharq,u628v2-122-bay,"""User: in-band-user, IP: 169.254.0.18, Protocol: https - Access to the resource located at /BiosStaticFiles was allowed.""",Security.1.0.AccessAllowed,Event,security
sharq,u628v2-122-bay,"""Access to the resource located at /BiosStaticFiles was allowed.""",Security.1.0.0.AccessAllowed,Event,security
sharq,u628v2-122-bay,"""User: in-band-user, IP: 169.254.0.18, Protocol: https - The resource at /redfish/v1/BiosStaticFiles/SetupData.xml has been successfully created.""",Security.1.0.ResourceCreated,Event,security
sharq,u628v2-122-bay,"""The resource at /redfish/v1/BiosStaticFiles/SetupData.xml has been successfully created.""",Security.1.0.0.ResourceCreated,Event,security
sharq,u628v2-122-bay,"""User: in-band-user, IP: 169.254.0.18, Protocol: https - The value of attribute Attributes at /redfish/v1/Systems/1/Bios was successfully updated from old values to a new set of value.""",Security.1.0.ResourceModified,Event,security
sharq,u628v2-122-bay,"""The value of attribute Attributes at /redfish/v1/Systems/1/Bios was successfully updated from old values to a new set of value.""",Security.1.0.0.ResourceModified,Event,security
sharq,u628v2-122-bay,"""User: in-band-user, IP: 169.254.0.18, Protocol: https - The resource at /redfish/v1/Oem/Ami/InventoryData (inventory.json) has been successfully created.""",Security.1.0.ResourceCreated,Event,security
sharq,u628v2-122-bay,"""The resource at /redfish/v1/Oem/Ami/InventoryData (inventory.json) has been successfully created.""",Security.1.0.0.ResourceCreated,Event,security
sharq,u628v2-122-bay,"""User: in-band-user, IP: 169.254.0.18, Protocol: https - The resource at /redfish/v1/Systems/1/Bios has been successfully created.""",Security.1.0.ResourceCreated,Event,security
sharq,u628v2-122-bay,"""The resource at /redfish/v1/Systems/1/Bios has been successfully created.""",Security.1.0.0.ResourceCreated,Event,security
sharq,u628v2-122-bay,"""Event_Data_1 : 1, Record_Type : system event record, Sensor_Number : 96, Event_Dir : Assertion event, Event_Data_2 : 255, Timestamp : 1970-01-01T08:00:21+08:00, EvM_Rev : IPMI v2.0 Event Messages, Generator_ID : 0x2000, Event_Data_3 : 255, Event_Type : Device Inserted / Device Present, Record_ID : 2, Sensor_Type : Fan, """,0x01FFFF,SEL,hardware
sharq,u628v2-122-bay,"""Event_Data_1 : 1, Record_Type : system event record, Sensor_Number : 98, Event_Dir : Assertion event, Event_Data_2 : 255, Timestamp : 1970-01-01T08:00:21+08:00, EvM_Rev : IPMI v2.0 Event Messages, Generator_ID : 0x2000, Event_Data_3 : 255, Event_Type : Device Inserted / Device Present, Record_ID : 3, Sensor_Type : Fan, """,0x01FFFF,SEL,hardware
sharq,u628v2-122-bay,"""Event_Data_1 : 1, Record_Type : system event record, Sensor_Number : 100, Event_Dir : Assertion event, Event_Data_2 : 255, Timestamp : 1970-01-01T08:00:21+08:00, EvM_Rev : IPMI v2.0 Event Messages, Generator_ID : 0x2000, Event_Data_3 : 255, Event_Type : Device Inserted / Device Present, Record_ID : 4, Sensor_Type : Fan, """,0x01FFFF,SEL,hardware
sharq,u628v2-122-bay,"""Event_Data_1 : 1, Record_Type : system event record, Sensor_Number : 102, Event_Dir : Assertion event, Event_Data_2 : 255, Timestamp : 1970-01-01T08:00:21+08:00, EvM_Rev : IPMI v2.0 Event Messages, Generator_ID : 0x2000, Event_Data_3 : 255, Event_Type : Device Inserted / Device Present, Record_ID : 5, Sensor_Type : Fan, """,0x01FFFF,SEL,hardware
sharq,u628v2-122-bay,"""Event_Data_1 : 2, Record_Type : system event record, Sensor_Number : 93, Event_Dir : Assertion event, Event_Data_2 : 255, Timestamp : 1970-01-01T08:00:22+08:00, EvM_Rev : IPMI v2.0 Event Messages, Generator_ID : 0x2000, Event_Data_3 : 255, Event_Type : Battery Presence Detected, Record_ID : 6, Sensor_Type : Battery, """,0x02FFFF,SEL,hardware
sharq,u628v2-122-bay,"""Event_Data_1 : 0, Record_Type : system event record, Sensor_Number : 80, Event_Dir : Assertion event, Event_Data_2 : 255, Timestamp : 1970-01-01T16:03:19+08:00, EvM_Rev : IPMI v2.0 Event Messages, Generator_ID : 0x2000, Event_Data_3 : 255, Event_Type : Power Off / Power Down, Record_ID : 7, Sensor_Type : PowerUnit, """,0x00FFFF,SEL,power
sharq,u628v2-122-bay,"""Event_Data_1 : 0, Record_Type : system event record, Sensor_Number : 80, Event_Dir : Deassertion event, Event_Data_2 : 255, Timestamp : 1970-01-01T16:03:19+08:00, EvM_Rev : IPMI v2.0 Event Messages, Generator_ID : 0x2000, Event_Data_3 : 255, Event_Type : Power Off / Power Down, Record_ID : 8, Sensor_Type : PowerUnit, """,0x00FFFF,SEL,power
sharq,u628v2-122-bay,"""Event_Data_1 : 0, Record_Type : system event record, Sensor_Number : 80, Event_Dir : Assertion event, Event_Data_2 : 255, Timestamp : 1970-01-01T08:00:21+08:00, EvM_Rev : IPMI v2.0 Event Messages, Generator_ID : 0x2000, Event_Data_3 : 255, Event_Type : Power Off / Power Down, Record_ID : 9, Sensor_Type : PowerUnit, """,0x00FFFF,SEL,power
